Identifiant,Résumé,Statut,Version ciblée,Version du produit
0036082,Pouvoir sélectionner les destinataires des infos accueil administrateur,nouveau,,
0034334,Tableau des demandes > les numéros externes AP+ n’apparaissent pas,accepté,,V3.3.2
0035076,Tests détaillés FAL5,nouveau,,V3.3.3
0035505,Le nom des pièces jointes est très peu contraint et les fichiers sont stocké tels quels sur le disque.,nouveau,,V3.3.3
0023849,Supprimer PAQ et des conséquences,commentaire,,V2.0.2 (Lot6c)
0019952,Permettre d'imprimer l'ensemble des pages dans des tableaux de résultat des recherches,commentaire,,v2.9.5
0023910,Correspondant Stats > Créer fic stats > pouvoir supprimer un fichier créée par inadvertance,commentaire,,V2.0.2 (Lot6c)
0023902,Créer mouvement navire local > saisie annulée > mouvement quand même créé état MC en ne pouvant pas être annulé,commentaire,,V2.0.2 (Lot6c)
0023903,Exports > Manque les champs personnalisés de la fiche navire,commentaire,,V2.1.3 (Lot6g)
0023881,"Créer fichiers stats > ne plus proposer les choix Eura* dans la liste ""type de fichier""",commentaire,,V2.0.2 (Lot6c)
