Identifiant,Résumé,Statut,Version ciblée,Version du produit
0052020,NCA_Port statut non conforme “Business Error : L'identifiant d'escale est dÃ©jÃ  existant pour une escale d'un autre navire”,nouveau,,4.8.2
0049061,périmètre de migration de la 4.9,traité,4.9.0,
0051679,[ISPS] import excel un locode mal formaté provoque une exception technique,résolu,4.8.2,4.6.1
0051785,DS le controle lors de la maj de l'ETD tient compte de l'ETA mais pas de l'ATA.,résolu,4.8.2,4.8.1
0051918,Demande Sortie > maj D/H départ prévue IMPOSSIBLE car fait référence à une date demande précédente bien que ANNULEE (déhalage),nouveau,,4.7.4
0047921,[T2k] le tirant d'eau n'est pas correctement contrôlé dans les formulaires et provoque des erreurs dans le message Departure,nouveau,2020,4.4.4
0051910,EVOL : permettre profil Administrateur de remettre un mouvement de état MR à état MC,nouveau,,
0051823,PROD Caen > erreur technique Mouvemnt Sortie ferry ARMORIQUE 09/02/20 PB manque demande-decision capitainerie,résolu,,4.7.4
0051793,Supprimer le champ consignataire suivant du formulaire DAPAQ flash.,nouveau,4.11,4.7.4
0051787,[sécurité] suppression de l'impression des Escales et suppression de la dépendance à Birt,à chiffrer,4.10,4.8.0
0051788,[sécurité] mise à niveau de la librairie Log4J,nouveau,4.11,4.8.0
0049126,Profil AP AUTORITE PORTUAIRE> Demande Tab formalités : ISPS a disparu de la liste OR devrait apparaitre avec mess PAS DROIT,nouveau,,4.6.1
0051723,FERRY POP vpm > on ne peut pas insérer d’annonces de Déhalage ni annuler des annonces si annonces à cheval jours différents,nouveau,,4.7.4
0039083,[FIXME] EVOL : besoin de voir les navires au mouillage,nouveau,4.11,3.3.4
0039065,[FIXME][Tableaux des mouvements] EVOL: ajouter AFFICHER tous les mouvements en attente d'une action capitainerie,nouveau,4.11,3.3.4
0021522,Accès base école pour les ports externes,commentaire,,v2.9.7
0048967,Les locode obsolètes sont remontés dans l'autocomplétion,nouveau,2020,4.6.1
0051594,Modifier les pages de saisie des FAL5 et 6 pour éviter les requêtes trop grosse,nouveau,4.11,4.7.4
0051610,Recentrer le dossier d'escale au coeur de l'utilisation d'Escaleport,nouveau,2020,3.3.4
0051705,ISPS > PRE-REMPLIR > le code de l’installation du port provenance = 0000,nouveau,,4.7.4
0021839,"Mauvaise réception des messages T2k ""navires bannis""",à chiffrer,4.10,v3.0.0
0049299,[ISPS] : difficulté de saisie des LOCODEs dans les fichiers excel => modifier les formes acceptées.,à chiffrer,4.10,4.6.1
0049062,[FAL5/6] évolution m2m,à chiffrer,4.10,4.6.1
0051597,[migration] mise à niveau des dépendances javascript,à chiffrer,4.10,4.8.1
0051612,Fusionner les IHM des demandes et des mouvements,nouveau,2020,
0050962,Evol : Prévoir  taille mini en largeur des écrans à défaut d’une adaptation auto liée à la taille fenêtre (scoll à droite),nouveau,4.11,4.8.0
0045277,STATS > Fiche marchandises>Fret59a + cargaison choix Marchandise conteneurisée> Modifier ficher = perte des infos contene,commentaire,2020,4.3.0
0045282,STATS > Fiche march MULTI FRET>Poids marchandises Pas d’arrondi sur les chiffres après la virgule EX : 172.41379310344828,commentaire,2020,4.3.0
0050945,[FERRY][vigie calais]  aucune contrainte ne permet que  ETAmaj > ETD ce qui peut provoquer des erreurs (ex: NCA_Port rejeté),nouveau,2020,4.7.2
0050693,FAL5-6 > Exporter en csv > ordre dans le csv différent de l'ordre d'affichage,nouveau,2020,4.7.3
0050452,Menu Liens > permettre de mettre des liens sur URL ET Fichiers en public et en restreint à l’instar des avsi-consignes du menu a,nouveau,2020,
0050199,EVOL : solution au PB des compagnies ferries ne pouvant saisir les  déclarations que si POP VPM,nouveau,2020,4.7.1
0050088,ISPS ecran > Modifier = la taille de l’écran est agrandie partie droite tronquée,nouveau,2020,4.7.1
0049994,Messages T2K ferries : ATAToPortOfCall vide dans les NCA_FAL5 et NCA_FAL6 même lorsque l'ATA est connu,nouveau,2020,4.7.1
0047558,faire apparaître l'état des formalités dans le tableau de bord des demandes.,commentaire,2020,4.6.0 ISPS
0047185,[FAL7] mauvais contrôle de l'unité de mesure des quantités,nouveau,2020,4.5.1
0047095,[FAL7] le libellé de la table code_md_onu ne permet pas de stocker la description complète des MD [FIXME],nouveau,2020,4.5.0
0047094,[FAL7] le champ Description de la marchandise doit permettre la saisie de 350 caractères.,nouveau,2020,4.5.0
0047061,[MD] permettre la mise à jour des listes de codes ONU et sous classe dans le menu administration.,nouveau,2020,4.4.4
0046974,"[T2k] Dans la liste des messages envoyés, l'action réémettre doit toujours être disponible pour les administrateurs",nouveau,2020,4.5.0
0046956,[date] contrôler que les dates saisies sont compatibles avec les messages T2k,nouveau,2020,4.4.4
0046947,[admin] gestion des nomenclature: suppression d'un item de nomenclateur > erreur technique,nouveau,2020,4.5.0
0046899,[CNIL : anonymisation] permettre un paramétrage de la fréquence et de la durée en fonction des environnements.,nouveau,2020,
0046812,[Waste] Les déclaration ne comportant que le Summary (sans liste de déchets) sont refusée par T2k,nouveau,2020,4.4.2
0038343,FAL MD > ajouter des contrôles sur toutes les classifications et pas que IMDG,nouveau,2020,3.3.4
0025544,Evol > Ferry POP > ajouter champ MD dans créer annonce,commentaire,2020,v3.0.2
0045013,[chainage] Corriger les calculs pour le contrôle de la disponibilité des postes à quai.,nouveau,2020,3.3.4
0029079,Donner la possiblité à la capitainerie de supprimer un navire local ou temporaire.,nouveau,2020,V3.1.3
0049866,EVOL : pb lors MAJ ETA qui devient supérieure à la date ETD prévue,nouveau,2020,
0049555,EVOL : prévision ENTREE maj des dates : alerte et renvoi pour report également sur la SORTIE si existe,nouveau,,4.6.1
0048745,[T2k] certains navire non OMI doivent transmettre des messages à T2k [FIXME],nouveau,2021,3.3.4
0048744,recherche de navire: permettre une recherche sur l'ensemble des référentiels.,nouveau,2021,4.6.1
0045631,Demande Entree vpm > maj ETD > repasse ETA affectee en ETA origine dans les tab demandes et mvts,à traiter,2020,4.4.0
0051202,EVOL gene : Gestion POP ferry améliorations d'utilisation,nouveau,2020,
0022246,Ferry > maj dans Ecran vigie font des maj dans le POP prévisions : contraire aux règles (cf DAF),accepté,,v3.0.0
0044091,[POP] erreur technique si date de référence vide.,chiffré,2020,3.3.4
0023571,Accéder en lecture au POP à partir de l'écran mouvement rapide,nouveau,,V1.7.5 (Lot5b)
0025492,Evol >Ferry POP visiblité mouvements associés,nouveau,,v3.0.0
0039780,Ferry > POP > importer annonces > si date sortie=date entrée alors PAS de message d’erreur et génère erreur affichage POP graphi,nouveau,,3.3.4
0045000,POP Ferry > enregistrer AJOUTER un contrôle d’alerte si la date de sortie n’a pas été saisies,nouveau,2020,4.2.2
0025545,Evol > Ferry POP pouvoir afficher version souhaitée (gestion des versions POP),nouveau,,v3.0.2
0051197,EVOLCONCEP : MOUVEMENTS revoir ergonomie et faciliter accès comme demandes,nouveau,2020,
0018371,"Dans mouvement, le consignataire n'a pas accès à la liste des passagers et de l'équipage.",accepté,,v2.9.3
0030316,Mouvement > inverser ordre saisie date entrée port et date pilotage,nouveau,,V3.1.4
0051194,EVOL gene : CONTACTS améliorer l'utilisation,nouveau,2020,
0046880,EVOL : Menu contacts > ajouter critères recherche  et pouvoir exporter/ importer des contacts (entre ports),nouveau,,4.4.2
0025479,Evol > Contact email 50 caractères max,nouveau,,v3.0.2
0025539,Evol> Tableau contacts ajouter colonne Activité,nouveau,,v3.0.2
0036081,trier le tableau des contacts par ordre alphabétique.,nouveau,,
0051192,EVOL Conceptuelle > Occupation des quais > Même représentation graphique entre Ferry et cargo,nouveau,2020,
0036303,Erreur technique si avis Capitainerie donné avant la saisie des postes et moyen.,nouveau,2020,3.3.4
0040877,Tab mouvements > Annuler mouvement de sortie ferry > On ne peut plus créer de nouveaux mouvements  D ou S à partir du mouvement,nouveau,,3.3.4
0042965,Avis capitainerie > Alerter si saisi d'un PAQ ou heure sans avoir donner d'avis.,nouveau,2020,3.3.4
0043394,Avis D/H affectée > un message d’alerte PAQ indispo affiché alors que hors chevauchement,nouveau,,4.0.4
0044674,Anonymisation des données : supprimer uniquement le contenu des messages envoyés T2K mais pas la liste des messages,nouveau,,4.2.2
0045854,EVOL : mess alerte à prévoir au moins à la confirmation demande pour les FAL clonées et non envoyées T2K,nouveau,,2020
0044759,Demande Cloner > clonage Cargaison + FA5+MD+ISPS+Dechets > seuls message NCAport+FAL1+FAL5 générés,nouveau,2020,
0045153,[Poste et moyen] Ajouter une alerte lorsqu'on signale un niveau ISPS suppérieur à celui du quai demandé.,nouveau,2021,4.3.0
0050982,PRODUCTION > Import fichier de plus de 50 caractères = erreur exception technique,nouveau,2020,4.7.2
0050878,Dossier escale > PJ > Nature PJ > retirer le choix “incident” redondant avec la rubrique incidents escale,nouveau,2020,4.8.0
0051030,Tab bord demande et liste formalités Dossier escale > Si demande annulée > les formalités sont indiquées à Saisi au lieu de Annu,nouveau,2020,4.8.0
0050978,Autres fonctions > Rechercher matière dangereuse > les codes et début de chaine ne ressorte pas de la recherche,nouveau,2020,3.4.0
0050863,Evol > Transfert demande autre consignataire > si condfidentielle mettre mess alerte au moment du trf et pas lors MAJ consignata,nouveau,,4.8.0
0050742,ISPS > Pré-remplir : faut-il dupliquer également les activités de navire à navire ?,nouveau,,4.7.3
0050047,Paramétrer liens administrateur > nombre de liens limité à 5 ce qui est trop faible + une erreur technique,nouveau,,4.6.1
0049912,compatibilité des fichiers FAL5/6 Escaleport avec les modèles OMI FAL,nouveau,,A FAIRE (hors klee)
0047709,FAL ISPS et DMS >Ajout ou Modif  > PAS le notification alerte de modif aux autres profils ayant acces (dans tab demande en jaune,commentaire,2020,4.6.0 ISPS
0049654,[navires attendu][navire à quai] erreur technique sur certaines recherches impliquant la pagination,nouveau,2020,4.6.1
0049258,NCA_PORT Rochefort DE2019000211 non conforme / Port  FI-Mantyluoto/Pori non connu de Trafic2000,nouveau,,4.6.1
0046760,[FAL ISPS] ajouter un contrôle sur le format de l'OMI compagnie qui devrait être un entier 0-9999999,à chiffrer,4.10,3.3.4
0048771,EVOL PROFIL SURETE :Pouvoir rendre effectif le profil sûreté + définir liste des fonctions accessibles,nouveau,,4.6.1
0048965,Rendre les liens de téléchargement des modèles de formalité accessibles sans authentification.,nouveau,2020,4.6.1
0048746,le numéro d'immatriculation du navire n'apparait pas dans la description du navire du tableau de bord de la demande,nouveau,2021,4.6.1
0047669,Ajouter contraintes dans le fichier modèle excel ISPS,nouveau,,4.6.0 ISPS
0044602,[FAL7] impossible de saisir le nombre de colis avec FireFox 60.2.2esr (64 bits),chiffré,2020,4.2.2
0044230,[MVT] la consultation d'un mouvement avec passage d'écluse provoque des messages dans le log d'erreur.,chiffré,2020,4.0.6
0041604,Retour message T2K staut en échec suite coupure T2K délais émission trop courts,chiffré,2020,3.3.4
0040748,Dossier escale: Les formalités des demandes de sorties annulées apparaissent toujours dans la liste.,chiffré,2020,3.3.4
0036313,Ajouter la configuration d'accès au PJ à la page de gestioen des profils.,chiffré,2020,3.3.4
0047670,Ergonomie écran accès import ISPS,nouveau,2020,4.6.0 ISPS
0047676,ISPS ecran > Valider/Refuser : pas d’info sur l’action effectuée (comme consolidée),nouveau,2020,4.6.0 ISPS
0047636,ISPS > Exporter > liste des 10 dernières escales > ordre chronologique inversé voire MELANGE,commentaire,4.6.1,4.6.0 ISPS
0047594,[logs prod] erreur hibernate à qualifier...,nouveau,2020,4.4.4
0047593,[logs prod] SQL détection d'interblocage,nouveau,2020,4.4.4
0047524,[admin] gestion indispo des PAQ : alertes inutiles et perturbantes pour des indispo dans le passé,nouveau,2021,3.4.0
0044373,[Perf] utilisation mémoire et CPU anormale en production,commentaire,A FAIRE (hors klee),4.0.6
0042389,"[TESTS] Saisie de deux matières dangereuses avec le mê numéro ""ONU"" => mettre à jour le cas de test.",nouveau,,3.3.4
0046879,EVOL : savoir si le navire provient d’un port Hors Shengen (procédures d’entrée différentes),commentaire,,4.4.2
0046828,Ferry > POP vpm mvt avec MD > Compléter mvt MD=oui passage à NON > l’icone MD + la FAL MD ne sont pas retirés,nouveau,,
0046389,EVOL Demande > Transfert consignataire suivant : ajouter un contrôle à l’enregistrement O/N,nouveau,,
0042717,Dossier escale > Ajout PJ incident escale = message erreur type pj incident / V4-2-2 report incident autres escales,nouveau,,3.3.4
0045867,[stat] le formulaire de modification d'un chargement ne présente pas les valeurs initiales du chargement.,nouveau,2021,3.3.4
0045673,Ferry Ecran Saisie rapide mouvement > MAJ PAQ > graphiques POP et Occup quais pas mis à jour (pas de report sur le nouveau paq),nouveau,2020,4.4.0
0044638,Evol T2K > FAL ISPS ajouter un contrôle lors enreg pour avoir saisie d’un numéro Inmarsat que une fois,nouveau,2020,4.2.0
0033947,[chainage] En cas d'ajout ou suppression d'une DH le PAQ de départ du mouvement suivant (DH ou DS) doit être mis à jour .,nouveau,2020,V3.3.3
0041614,"Dans l'écran FAL1 de sortie le champ ""Qté à bord"" n'est pas obligatoire pour certains types de navires => REGLE DOUTEUSE",nouveau,2020,3.6.0
0044927,Evol T2K > pouvoir annuler une FAL WASTE,nouveau,2020,4.2.0
0044640,[T2k] FIXME : Permettre l'annulation d'une FAL ISPS,nouveau,2020,4.2.0
0045344,Evol : « nettoyer » les vieilles escales passées au travers de l’anonymisation,nouveau,A FAIRE (hors klee),4.2.2
0041605,Anonymisation Capitaines saisis de la FAL1 mais pas Capitaines Ferries issus de la liste : Précisios dans le DAF à faire,nouveau,,
0042959,Historique demande : ajout de l'info indiquant qui a créé la demande (DAPAQ ou DAPAQ Flah),nouveau,2020,3.3.4
0025559,Evol > Gestion des demandes : pouvoir transférer la demande à 1 à n consignataires successifs.,nouveau,2020,v3.0.2
0042366,[référentiel] référentiel des locodes obsolète,nouveau,A FAIRE (hors klee),3.3.4
0044712,"[Perf] requêtes Oracle trop ""gourmandes"" sur le journal des messages",nouveau,A FAIRE (hors klee),4.0.6
0042475,problème d'encodage des nouvelles chaînes sur différentes pages,à traiter,A FAIRE (hors klee),4.0.3
0039873,STATS > demande Soes de faire cumul port en lourd et jauge brute pour l’ensemble des escales F1’ et F2’,nouveau,2020,3.3.4
0040517,Contacts > base test 2 sociétés AP créées : impossible de supprimer AP,nouveau,A FAIRE (hors klee),3.3.4
0042396,Erreur technique lor de l'ajout d'un avis à une demande,nouveau,2020,3.3.4
0042387,Possibilité d'ajouter zero matière dangereuse à une DAPAQ,nouveau,2020,3.3.4
0042876,[Liens] Administration> supprimer la limite du nombre de lien locaux,nouveau,2020,3.3.4
0035722,PB locode en ZZ88P ou ZZ88Q ou FR88Q non reconnus par Trafic 2000,nouveau,A FAIRE (hors klee),
0040781,POP > impression > couleur prevision cargo transformée sur PAQ Ferry en couleur bleu mouvement +traits,à recetter,4.2.0,3.3.4
0043094,Variabiliser l'entrée jndi de la ressource conteneur jdbc,à chiffrer,2020,4.0.4
0042469,Owasp CSRFGuard obsolète et pas satisfaisant,nouveau,,3.3.4
0041353,Admin Tech Central > Param port CH > Ajout d’1 PAQ ferry> Enreg = erreur technique,commentaire,,3.3.4
0043196,[DAF] RGG-GENDEM001 non prise en compte dans l'appli,nouveau,,4.0.4
0043195,[DAF] Règle RGG-DQF003 non respectée dans l'appli => voir ce qu'il faut faire,nouveau,,4.0.4
0042898,[SEM] le serveur FTP du SEM ne connait pas l'instruction REIN,nouveau,,3.3.4
0028216,FAL1 > consignataire et capitainerie n'accèdent plus aux PJ divers,nouveau,,3.0.3
0042868,[TIMAD] les dates transmises dans DONNEES_ESCALES sont en UTC (super ou pas?).,nouveau,,4.0.3
0042783,Stats > fiche Multi marchandises > enregistrer et cloner = erreur exception technique,nouveau,,4.0.3
0042796,Dossier Escale > “Stats marchandises-Fiches saisies”=0 alors que 1 fiche a été saisie,nouveau,,3.3.4
0042789,Stats > Créer fiche Multi Marchandises > Saisie faiche > Enregistrer et continuer > Saisie nature 2nde fiche = erreur exception,nouveau,,3.3.4
0042629,Intégrer les mises à jour des LOCODE via le service de l'EMSA.,nouveau,,
